"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"Bos_taurus_2.y",-396767697.146774,-265598110.007087,11188428.7756845,40772429.7189242,-1465648.56391743,349446.528324692,42102.71213927,25933.5315270161,-8994.71432980755,4.12692315876484e-08
"Capra_hircus_2.y",425546700.582871,63779096.647961,4358392.89313856,-20489043.1291757,779328.280528199,202405.871076773,21345.1775673352,196049.224180112,-69964.8284842228,2.25176336243749e-07
"Ceratotherium_simum_9_CM038160.1",-309960576.980173,-244013682.787774,-41125033.7576825,-21164448.1508244,1098882.34040321,28189.8551986038,-271985.826155513,-130949.184882329,-23554.4475797707,-5.99538907408714e-09
"Equus_caballus_18.y",-439018702.577019,70754518.1510488,16150621.0796616,-47274181.6717791,-319092.024519772,6578.4682985426,346049.888572639,-124907.809035845,-13937.3001228051,-4.61150193586946e-08
"Giraffa_tippelskirchi_3.y",344785411.824524,58561889.2960755,5478295.9587931,-21961153.9791757,437340.925849141,323089.570274981,-49469.6820730567,20880.0219816181,95297.0626504835,1.3908720575273e-07
"Gorilla_gorilla_3.y",-358058761.429778,92056956.5731987,34924998.5137532,-25708141.3759466,-1430490.10447651,-294715.623745805,-266424.708775034,91100.8433595453,7389.87691262714,-6.76664058119059e-08
"Mus_musculus_2.y",-157112465.294787,74048324.3064538,72919134.8769002,42231952.6418871,1614685.36484823,-119221.831174728,-6578.27301274506,-53782.1500197724,-307.590584209564,-3.91446519643068e-08
"Panthera_tigris_C1.y",1150747400.98969,19633399.4595584,-1760293.24175048,11909456.9048796,-1040344.53045,-110472.632052205,-21817.9067916961,-143016.360985598,-18243.1911929825,2.33063474297523e-07
"Sus_scrofa_15.y",-369272837.547309,396233263.648677,-67247959.1881012,32754052.7422217,-83060.344404916,4901.43772738783,3321.01336553157,-64.953711409049,15.0454949836203,-2.07695848075673e-07
"Tursiops_truncatus_7.y",109111527.578752,-265455655.288113,-34886585.9103969,8929076.29898872,408398.656139786,-390201.643928298,203457.605163296,118756.837586648,32300.0872356858,1.42244971357286e-07
