chromosomes,Bos_taurus_2,Capra_hircus_2,Ceratotherium_simum_9,Equus_caballus_18,Giraffa_tippelskirchi_3,Gorilla_gorilla_3,Mus_musculus_2,Panthera_tigris_C1,Sus_scrofa_15,Tursiops_truncatus_7
uce-10_p4,0,0,0,0,0,0,0,0,0,0
uce-1003_p2,0,0,0,0,0,0,0,0,0,0
uce-1004_p2,0,0,0,0,0,0,0,0,0,0
uce-1005_p1,0,0,0,0,0,0,0,0,0,0
uce-1008_p2,0,0,0,0,0,0,0,0,0,0
uce-101_p1,0,0,0,0,0,0,0,1,0,0
uce-101_p2,0,0,0,0,0,0,0,1,0,0
uce-1010_p2,0,0,0,0,0,0,0,0,0,0
uce-1012_p2,0,0,0,0,0,0,0,0,0,0
uce-1013_p1,0,0,0,0,0,0,0,0,0,0
uce-1014_p1,0,0,0,0,0,0,0,0,0,0
uce-1017_p1,1,1,0,0,1,0,0,1,0,0
uce-1017_p2,1,1,0,0,1,0,0,1,0,0
uce-1018_p2,0,0,0,0,0,0,0,0,0,0
uce-102_p1,0,0,0,0,0,0,0,0,0,0
uce-1021_p3,0,0,0,0,0,0,0,0,0,0
uce-1025_p1,0,0,0,0,0,0,0,0,0,0
uce-1025_p2,0,0,0,0,0,0,0,0,0,0
uce-1026_p2,0,0,0,0,0,0,0,1,0,0
uce-1027_p1,0,0,0,0,0,0,0,0,0,0
uce-1029_p1,0,0,0,0,0,0,0,0,0,0
uce-103_p1,0,0,0,0,0,0,0,0,0,0
uce-103_p2,0,0,0,0,0,0,0,0,0,0
uce-103_p3,0,0,0,0,0,0,0,0,0,0
uce-1031_p3,0,0,0,0,0,0,0,0,0,0
uce-1034_p2,0,0,0,0,0,0,0,0,0,0
uce-1035_p5,0,0,0,0,0,0,0,0,0,0
uce-1036_p1,0,0,0,0,0,0,0,0,0,0
uce-1037_p1,0,0,0,0,0,0,0,0,0,0
uce-1038_p1,1,1,1,1,1,1,1,1,1,1
uce-1038_p2,1,1,1,1,1,1,1,1,1,1
uce-1038_p3,1,1,1,1,1,1,1,1,1,1
uce-1039_p1,0,0,0,0,0,0,0,0,0,0
