"","chromosomes","Bos_taurus_2","Capra_hircus_2","Ceratotherium_simum_9","Equus_caballus_18","Giraffa_tippelskirchi_3","Gorilla_gorilla_3","Mus_musculus_2","Panthera_tigris_C1","Sus_scrofa_15","Tursiops_truncatus_7"
"30","uce-1038_p1",1,1,1,1,1,1,1,1,1,1
"31","uce-1038_p2",1,1,1,1,1,1,1,1,1,1
"32","uce-1038_p3",1,1,1,1,1,1,1,1,1,1
"74","uce-1088_p2",1,1,1,1,1,1,1,1,1,1
"92","uce-1107_p2",1,1,1,1,1,1,1,1,1,1
"112","uce-1135_p1",1,1,1,1,1,1,1,1,1,1
"140","uce-1172_p1",1,1,1,1,1,1,1,1,1,1
"141","uce-1172_p2",1,1,1,1,1,1,1,1,1,1
"149","uce-1183_p2",1,1,1,1,1,1,1,1,1,1
"162","uce-1201_p2",1,1,1,1,1,1,1,1,1,1
"172","uce-1209_p1",1,1,1,1,1,1,1,1,1,1
"178","uce-1212_p3",1,1,1,1,1,1,1,1,1,1
"196","uce-1241_p1",1,1,1,1,1,1,1,1,1,1
"197","uce-1242_p2",1,1,1,1,1,1,1,1,1,1
"201","uce-1246_p1",1,1,1,1,1,1,1,1,1,1
"220","uce-1257_p1",1,1,1,1,1,1,1,1,1,1
"248","uce-1290_p2",1,1,1,1,1,1,1,1,1,1
"249","uce-1291_p1",1,1,1,1,1,1,1,1,1,1
"250","uce-1295_p1",1,1,1,1,1,1,1,1,1,1
"272","uce-1318_p3",1,1,1,1,1,1,1,1,1,1
"284","uce-1335_p3",1,1,1,1,1,1,1,1,1,1
"285","uce-1336_p1",1,1,1,1,1,1,1,1,1,1
"286","uce-1336_p2",1,1,1,1,1,1,1,1,1,1
"436","uce-1490_p2",1,1,1,1,1,1,1,1,1,1
"442","uce-15_p5",1,1,1,1,1,1,1,1,1,1
"452","uce-1514_p2",1,1,1,1,1,1,1,1,1,1
"498","uce-1588_p1",1,1,1,1,1,1,1,1,1,1
"499","uce-1588_p2",1,1,1,1,1,1,1,1,1,1
"500","uce-1588_p3",1,1,1,1,1,1,1,1,1,1
"501","uce-1588_p4",1,1,1,1,1,1,1,1,1,1
"559","uce-166_p1",1,1,1,1,1,1,1,1,1,1
"583","uce-1698_p2",1,1,1,1,1,1,1,1,1,1
"594","uce-171_p4",1,1,1,1,1,1,1,1,1,1
"613","uce-1742_p2",1,1,1,1,1,1,1,1,1,1
"614","uce-1743_p1",1,1,1,1,1,1,1,1,1,1
"615","uce-1743_p2",1,1,1,1,1,1,1,1,1,1
"632","uce-1757_p3",1,1,1,1,1,1,1,1,1,1
"647","uce-1774_p1",1,1,1,1,1,1,1,1,1,1
"648","uce-1775_p1",1,1,1,1,1,1,1,1,1,1
"649","uce-1775_p2",1,1,1,1,1,1,1,1,1,1
"664","uce-1796_p2",1,1,1,1,1,1,1,1,1,1
"679","uce-1810_p2",1,1,1,1,1,1,1,1,1,1
"718","uce-1863_p1",1,1,1,1,1,1,1,1,1,1
"726","uce-1875_p1",1,1,1,1,1,1,1,1,1,1
"777","uce-1919_p1",1,1,1,1,1,1,1,1,1,1
"778","uce-192_p2",1,1,1,1,1,1,1,1,1,1
"782","uce-1925_p2",1,1,1,1,1,1,1,1,1,1
"799","uce-1963_p1",1,1,1,1,1,1,1,1,1,1
"814","uce-1975_p7",1,1,1,1,1,1,1,1,1,1
"815","uce-1975_p8",1,1,1,1,1,1,1,1,1,1
"832","uce-1996_p1",1,1,1,1,1,1,1,1,1,1
"833","uce-1996_p2",1,1,1,1,1,1,1,1,1,1
"834","uce-1996_p3",1,1,1,1,1,1,1,1,1,1
"849","uce-2007_p1",1,1,1,1,1,1,1,1,1,1
"850","uce-2007_p2",1,1,1,1,1,1,1,1,1,1
"854","uce-2010_p1",1,1,1,1,1,1,1,1,1,1
"855","uce-2010_p2",1,1,1,1,1,1,1,1,1,1
"856","uce-2010_p3",1,1,1,1,1,1,1,1,1,1
"866","uce-2021_p1",1,1,1,1,1,1,1,1,1,1
"867","uce-2023_p3",1,1,1,1,1,1,1,1,1,1
"943","uce-2103_p1",1,1,1,1,1,1,1,1,1,1
"950","uce-211_p2",1,1,1,1,1,1,1,1,1,1
"957","uce-2119_p1",1,1,1,1,1,1,1,1,1,1
"971","uce-2138_p1",1,1,1,1,1,1,1,1,1,1
"1010","uce-220_p1",1,1,1,1,1,1,1,1,1,1
"1011","uce-220_p2",1,1,1,1,1,1,1,1,1,1
"1012","uce-220_p3",1,1,1,1,1,1,1,1,1,1
"1021","uce-2210_p1",1,1,1,1,1,1,1,1,1,1
"1059","uce-2261_p1",1,1,1,1,1,1,1,1,1,1
"1091","uce-230_p1",1,1,1,1,1,1,1,1,1,1
"1151","uce-2386_p1",1,1,1,1,1,1,1,1,1,1
"1196","uce-2456_p1",1,1,1,1,1,1,1,1,1,1
"1197","uce-2457_p1",1,1,1,1,1,1,1,1,1,1
"1218","uce-2485_p1",1,1,1,1,1,1,1,1,1,1
"1221","uce-249_p4",1,1,1,1,1,1,1,1,1,1
"1239","uce-2514_p1",1,1,1,1,1,1,1,1,1,1
"1285","uce-2576_p1",1,1,1,1,1,1,1,1,1,1
"1302","uce-2599_p1",1,1,1,1,1,1,1,1,1,1
"1307","uce-261_p1",1,1,1,1,1,1,1,1,1,1
"1308","uce-261_p2",1,1,1,1,1,1,1,1,1,1
"1328","uce-2648_p1",1,1,1,1,1,1,1,1,1,1
"1334","uce-2662_p1",1,1,1,1,1,1,1,1,1,1
"1345","uce-268_p1",1,1,1,1,1,1,1,1,1,1
"1364","uce-2704_p1",1,1,1,1,1,1,1,1,1,1
"1397","uce-2758_p1",1,1,1,1,1,1,1,1,1,1
"1442","uce-2817_p1",1,1,1,1,1,1,1,1,1,1
"1555","uce-299_p2",1,1,1,1,1,1,1,1,1,1
"1561","uce-2998_p1",1,1,1,1,1,1,1,1,1,1
"1582","uce-3028_p1",1,1,1,1,1,1,1,1,1,1
"1585","uce-3032_p1",1,1,1,1,1,1,1,1,1,1
"1618","uce-3082_p1",1,1,1,1,1,1,1,1,1,1
"1648","uce-3134_p1",1,1,1,1,1,1,1,1,1,1
"1694","uce-320_p1",1,1,1,1,1,1,1,1,1,1
"1727","uce-3248_p1",1,1,1,1,1,1,1,1,1,1
"1758","uce-3291_p1",1,1,1,1,1,1,1,1,1,1
"1772","uce-3309_p1",1,1,1,1,1,1,1,1,1,1
"1783","uce-3323_p1",1,1,1,1,1,1,1,1,1,1
"1795","uce-3335_p1",1,1,1,1,1,1,1,1,1,1
"1798","uce-3338_p1",1,1,1,1,1,1,1,1,1,1
"1799","uce-334_p6",1,1,1,1,1,1,1,1,1,1
"1827","uce-3376_p1",1,1,1,1,1,1,1,1,1,1
"1834","uce-3380_p1",1,1,1,1,1,1,1,1,1,1
"1837","uce-3384_p1",1,1,1,1,1,1,1,1,1,1
