chromosomes,Bos_taurus_2.y,Capra_hircus_2.y,Ceratotherium_simum_9_CM038160.1,Equus_caballus_18.y,Giraffa_tippelskirchi_3.y,Gorilla_gorilla_3.y,Mus_musculus_2.y,Panthera_tigris_C1.y,Sus_scrofa_15.y,Tursiops_truncatus_7.y
uce-1038_p1,52253714,84091246,56742203,27447743,79190231,31154138,44922332,134240767,7577167,85404204
uce-1038_p2,52253654,84091306,56742143,27447803,79190291,31154198,44922392,134240827,7577107,85404144
uce-1038_p3,52253594,84091366,56742083,27447863,79190351,31154258,44922452,134240887,7577047,85404084
uce-1088_p2,36973164,99207598,43843429,40155182,93529201,46122468,59762826,147612217,66326213,71853153
uce-1107_p2,40097127,96044026,46611666,37399938,90517146,42844023,56802600,144735276,63314929,74735480
uce-1135_p1,52009042,84336628,56520073,27668629,79442536,31396372,45145446,134475033,7341520,85161616
uce-1172_p1,21371039,114936983,29582314,54113001,108670968,62163638,73999370,162321304,81362326,57321072
uce-1172_p2,21371099,114936923,29582374,54112941,108670908,62163578,73999310,162321244,81362266,57321132
uce-1183_p2,52241621,84103333,56730369,27459685,79202822,31167271,44934791,134252475,7565479,85392422
uce-1201_p2,53159576,83172024,57575045,26625109,78303345,30307564,44079193,133387643,8372990,86231022
uce-1209_p1,50843043,85515372,55597850,28574137,80534716,32370784,46217217,135446822,6345911,84134546
uce-1212_p3,50486261,85852513,55303487,28846356,80857804,32642941,46556461,135744159,6054380,83852879
uce-1241_p1,52632030,83702175,57104204,27101548,78816762,30797193,44597125,133872551,7912933,85761548
uce-1242_p2,53405544,82921983,57786609,26406378,78064731,30081657,43868588,133172038,8594307,86448768
uce-1246_p1,32150614,104073711,39476289,44441859,98194090,50893564,64437554,152037033,70826778,67458927
uce-1257_p1,40092678,96048941,46608926,37402949,90521159,42846843,56806283,144738284,63317649,74732734
uce-1290_p2,32361559,103852106,39646389,44258500,98004077,50712796,64225379,151875079,70660851,67628776
uce-1291_p1,51638270,84716751,56208166,27970414,79789200,31727780,45476904,134787505,7021618,84817698
uce-1295_p1,51493769,84869062,56083608,28089255,79926697,31847511,45605549,134916726,6896661,84697097
uce-1318_p3,31883640,104364483,39259047,44645574,98433530,51124366,64681051,152266792,71046247,67220180
uce-1335_p3,37046441,99136290,43910461,40086551,93454085,46039482,59730147,147549109,66255450,71917893
uce-1336_p1,52633099,83701105,57105270,27100474,78815687,30796125,44596047,133871474,7914011,85762630
uce-1336_p2,52633039,83701165,57105210,27100534,78815747,30796185,44596107,133871534,7913951,85762570
uce-1490_p2,19939003,116370958,28285736,55375578,110063357,63639957,75255830,163643972,82726016,55992264
uce-15_p5,23425265,112874874,31482422,52248780,106685061,59950143,72257279,160328245,79354557,59302267
