chromosomes,uces
Bos_taurus_1,uce-76_p1
Bos_taurus_1,uce-95_p1
Bos_taurus_1,uce-110_p1
Bos_taurus_1,uce-117_p2
Bos_taurus_1,uce-127_p1
Bos_taurus_1,uce-153_p1
Bos_taurus_1,uce-197_p1
Bos_taurus_1,uce-232_p2
Bos_taurus_1,uce-235_p1
Bos_taurus_1,uce-264_p4
Bos_taurus_1,uce-279_p1
Bos_taurus_1,uce-286_p1
Bos_taurus_1,uce-288_p1
Bos_taurus_1,uce-319_p1
Bos_taurus_1,uce-322_p1
Bos_taurus_1,uce-322_p2
Bos_taurus_1,uce-342_p1
Bos_taurus_1,uce-342_p2
Bos_taurus_1,uce-342_p3
Bos_taurus_1,uce-342_p4
Bos_taurus_1,uce-401_p1
Bos_taurus_1,uce-401_p2
Bos_taurus_1,uce-431_p3
Bos_taurus_1,uce-512_p3
Bos_taurus_1,uce-528_p2
Bos_taurus_1,uce-561_p2
Bos_taurus_1,uce-726_p1
Bos_taurus_1,uce-859_p2
Bos_taurus_1,uce-886_p2
Bos_taurus_1,uce-967_p1
Bos_taurus_1,uce-1058_p1
Bos_taurus_1,uce-1069_p1
Bos_taurus_1,uce-1134_p2
Bos_taurus_1,uce-1157_p2
Bos_taurus_1,uce-1187_p2
Bos_taurus_1,uce-1200_p3
Bos_taurus_1,uce-1211_p1
Bos_taurus_1,uce-1259_p1
Bos_taurus_1,uce-1354_p1
Bos_taurus_1,uce-1408_p1
Bos_taurus_1,uce-1408_p2
Bos_taurus_1,uce-1408_p3
Bos_taurus_1,uce-1408_p4
Bos_taurus_1,uce-1413_p3
Bos_taurus_1,uce-1420_p1
Bos_taurus_1,uce-1446_p1
Bos_taurus_1,uce-1511_p1
Bos_taurus_1,uce-1564_p1
Bos_taurus_1,uce-1606_p2
Bos_taurus_1,uce-1616_p2
Bos_taurus_1,uce-1667_p3
Bos_taurus_1,uce-1744_p1
Bos_taurus_1,uce-1786_p1
Bos_taurus_1,uce-1800_p2
Bos_taurus_1,uce-1800_p3
Bos_taurus_1,uce-1941_p1
Bos_taurus_1,uce-1971_p1
Bos_taurus_1,uce-2052_p1
Bos_taurus_1,uce-2054_p2
Bos_taurus_1,uce-2054_p3
Bos_taurus_1,uce-2054_p4
Bos_taurus_1,uce-2114_p3
Bos_taurus_1,uce-2118_p2
Bos_taurus_1,uce-2165_p1
Bos_taurus_1,uce-2181_p1
Bos_taurus_1,uce-2245_p1
Bos_taurus_1,uce-2284_p1
Bos_taurus_1,uce-2296_p1
Bos_taurus_1,uce-2302_p1
Bos_taurus_1,uce-2395_p1
Bos_taurus_1,uce-2438_p1
Bos_taurus_1,uce-2469_p1
Bos_taurus_1,uce-2513_p1
Bos_taurus_1,uce-2564_p1
Bos_taurus_1,uce-2566_p1
Bos_taurus_1,uce-2572_p1
Bos_taurus_1,uce-2619_p1
Bos_taurus_1,uce-2625_p1
Bos_taurus_1,uce-2666_p1
Bos_taurus_1,uce-2680_p1
Bos_taurus_1,uce-2699_p1
Bos_taurus_1,uce-2745_p1
Bos_taurus_1,uce-2778_p1
Bos_taurus_1,uce-2781_p1
Bos_taurus_1,uce-2795_p1
Bos_taurus_1,uce-2797_p1
Bos_taurus_1,uce-2830_p1
Bos_taurus_1,uce-2846_p1
Bos_taurus_1,uce-2889_p1
Bos_taurus_1,uce-3016_p1
Bos_taurus_1,uce-3025_p1
Bos_taurus_1,uce-3051_p1
Bos_taurus_1,uce-3054_p1
Bos_taurus_1,uce-3065_p1
Bos_taurus_1,uce-3116_p1
Bos_taurus_1,uce-3131_p1
Bos_taurus_1,uce-3144_p1
Bos_taurus_1,uce-3169_p1
Bos_taurus_1,uce-3319_p1
Bos_taurus_1,uce-3352_p1
Bos_taurus_1,uce-3355_p1
Bos_taurus_1,uce-3363_p1
Bos_taurus_1,uce-3505_p1
Bos_taurus_1,uce-3529_p1
Bos_taurus_1,uce-3560_p1
Bos_taurus_1,uce-3573_p1
Bos_taurus_1,uce-3604_p1
Bos_taurus_1,uce-3607_p1
Bos_taurus_1,uce-3609_p1
Bos_taurus_1,uce-3660_p1
Bos_taurus_1,uce-3680_p1
Bos_taurus_1,uce-3695_p1
Bos_taurus_1,uce-3709_p1
Bos_taurus_1,uce-3758_p1
Bos_taurus_1,uce-3854_p1
Bos_taurus_1,uce-3911_p1
Bos_taurus_1,uce-3921_p1
Bos_taurus_1,uce-3976_p1
Bos_taurus_1,uce-3989_p1
Bos_taurus_1,uce-4102_p1
Bos_taurus_1,uce-4110_p1
Bos_taurus_1,uce-4274_p1
Bos_taurus_1,uce-4293_p1
Bos_taurus_1,uce-4327_p1
Bos_taurus_1,uce-4335_p1
Bos_taurus_1,uce-4342_p1
Bos_taurus_1,uce-4398_p1
Bos_taurus_1,uce-4402_p1
Bos_taurus_1,uce-4477_p1
Bos_taurus_1,uce-4539_p1
Bos_taurus_1,uce-4600_p1
Bos_taurus_1,uce-4638_p1
Bos_taurus_1,uce-4739_p1
Bos_taurus_1,uce-4769_p1
Bos_taurus_1,uce-4782_p1
Bos_taurus_1,uce-4808_p1
Bos_taurus_1,uce-4838_p1
Bos_taurus_1,uce-5021_p1
Bos_taurus_1,uce-5076_p1
Bos_taurus_1,uce-5223_p1
Bos_taurus_1,uce-5231_p1
Bos_taurus_1,uce-5319_p1
Bos_taurus_1,uce-5416_p1
Bos_taurus_1,uce-5435_p1
Bos_taurus_1,uce-5473_p1
Bos_taurus_1,uce-5490_p1
Bos_taurus_1,uce-5530_p1
Bos_taurus_1,uce-5532_p1
Bos_taurus_1,uce-5543_p1
Bos_taurus_1,uce-5571_p1
Bos_taurus_1,uce-5600_p1
Bos_taurus_1,uce-5639_p1
Bos_taurus_1,uce-5723_p1
Bos_taurus_1,uce-5777_p1
Bos_taurus_1,uce-5792_p1
Bos_taurus_1,uce-5796_p1
Bos_taurus_1,uce-5832_p1
Bos_taurus_1,uce-5952_p1
Bos_taurus_1,uce-5954_p1
Bos_taurus_1,uce-5978_p1
Bos_taurus_1,uce-6012_p1
Bos_taurus_1,uce-6070_p1
Bos_taurus_1,uce-6127_p1
Bos_taurus_1,uce-6207_p1
Bos_taurus_1,uce-6296_p1
Bos_taurus_1,uce-6298_p1
Bos_taurus_1,uce-6334_p1
Bos_taurus_1,uce-6366_p1
Bos_taurus_1,uce-6373_p1
Bos_taurus_1,uce-6393_p1
Bos_taurus_1,uce-6418_p1
Bos_taurus_1,uce-6439_p1
Bos_taurus_1,uce-6440_p1
Bos_taurus_1,uce-6460_p1
Bos_taurus_1,uce-6465_p1
Bos_taurus_1,uce-6486_p1
Bos_taurus_1,uce-6541_p1
Bos_taurus_1,uce-6636_p1
Bos_taurus_1,uce-6667_p1
Bos_taurus_1,uce-6696_p1
Bos_taurus_1,uce-6707_p1
Bos_taurus_1,uce-6714_p1
Bos_taurus_1,uce-6729_p1
Bos_taurus_1,uce-6731_p1
Bos_taurus_1,uce-6741_p1
Bos_taurus_1,uce-6743_p1
Bos_taurus_1,uce-6827_p1
Bos_taurus_1,uce-6833_p1
Bos_taurus_1,uce-6856_p1
Bos_taurus_1,uce-6865_p1
Bos_taurus_1,uce-6904_p1
Bos_taurus_1,uce-6922_p1
Bos_taurus_1,uce-6939_p1
Bos_taurus_1,uce-6948_p1
Bos_taurus_1,uce-6957_p1
Bos_taurus_1,uce-6964_p1
Bos_taurus_1,uce-7035_p1
Bos_taurus_1,uce-7069_p1
Bos_taurus_1,uce-7107_p1
Bos_taurus_1,uce-7118_p1
Bos_taurus_1,uce-7136_p1
Bos_taurus_1,uce-7159_p1
Bos_taurus_1,uce-7276_p1
